Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Sector,Daily_Return,Log_Return,Intraday_Volatility,Volatility_30d,Volatility_90d,Avg_Return_30d,Drawdown_30d,Price_Momentum_30d,Days_from_Event,Event_Name,Event_Date,Event_Type,Event_Period
2023-07-17 04:00:00,100.62196584230256,101.53679785526634,100.10324443429126,100.3861846923828,4081400,0.0,0.0,COP,Energy,-0.006069570955739789,-0.006088065676187102,0.014280385546756058,0.27414199422868635,0.32014960621089356,0.6512986450869092,-0.03717769007844658,0.07585187707187946,-1,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-18 04:00:00,100.39560706998148,103.27213987153152,100.34845515901128,102.5647964477539,4396800,0.0,0.0,COP,Energy,0.021702306567852103,0.0214701641910934,0.02850573309536625,0.2693619912545115,0.32206683351592474,0.5955991226155555,-0.01628222513816157,0.06891457174075977,0,European Heat Wave,2023-07-18,Heat Wave,Event Day
2023-07-19 04:00:00,102.58365586585344,104.39446050091904,102.58365586585344,103.25328063964844,5408200,0.0,0.0,COP,Energy,0.006712675457267947,0.006690245770891965,0.017537502187318,0.26919965456453826,0.3213772386319158,0.6749648330709752,-0.009678846973968168,0.07904170008370914,1,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-20 04:00:00,104.215264909185,105.42246320663168,103.93232466020308,105.33758544921876,6702300,0.0,0.0,COP,Energy,0.020186330125863128,0.019985287206825915,0.014146313873379638,0.27361091921681285,0.3218768923536097,0.8552297105593195,0.0,0.10222758126776221,2,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-21 04:00:00,105.79027900696364,106.7616961418247,105.48847943889544,106.46932983398438,4957000,0.0,0.0,COP,Energy,0.010743975001318073,0.010686668602172078,0.01195853026326515,0.2644188744027143,0.3167133304719687,0.7089873800056928,0.0,0.08356348298567151,3,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-24 04:00:00,106.95032732436832,109.11950951093264,106.95032732436832,108.19525146484376,3999600,0.0,0.0,COP,Energy,0.016210505255838337,0.01608051790780167,0.020048774388857233,0.2666877269576851,0.3175381838490883,0.8667939283659746,0.0,0.10397241487329345,6,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-25 04:00:00,107.86515905961024,109.89287111742436,107.42188936290763,109.57221221923828,3664700,0.0,0.0,COP,Energy,0.012726628347843327,0.012646325419261277,0.02255117154678458,0.2663783104974955,0.3001128659544224,1.025926874613076,0.0,0.12501736071536262,7,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-26 04:00:00,108.76112162955128,110.47760800397336,108.61022544484445,110.18524169921876,4006300,0.0,0.0,COP,Energy,0.005594753154694931,0.005579160653692623,0.01694766495341048,0.2628875450961406,0.29971834689686216,1.159438407426245,0.0,0.14308472996243848,8,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-27 04:00:00,110.66623357429285,111.18495496590712,108.77055836959948,109.19496154785156,4568500,0.0,0.0,COP,Energy,-0.008987411890155395,-0.009028042301094087,0.02211087912924993,0.26578242621258585,0.29775176851819485,1.0357424469391203,-0.008987411890155367,0.12634803633204572,9,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-10 04:00:00,141.34293930605054,143.05084527556406,141.33376206288597,142.5550079345703,5167900,0.0,0.0,CVX,Energy,0.006678732822994693,0.006656528894842056,0.012045057115539534,0.19785481670649616,0.22664738244523777,-0.08967613199238632,-0.028655463617747214,-0.012844193543921967,-8,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-11 04:00:00,143.2436673900406,145.456601768143,142.931473016075,145.1903076171875,5060500,0.0,0.0,CVX,Energy,0.01848619505409954,0.018317402399540585,0.01739185482495039,0.1984624527939266,0.2283951358827587,0.21035192336898909,-0.010698999053450911,0.023032881322839316,-7,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-12 04:00:00,146.20038989885018,147.2288016659789,145.38316683152976,146.58604431152344,6464000,0.0,0.0,CVX,Energy,0.009613153365691351,0.009567241014012469,0.012590795004514899,0.1996877432842305,0.22890808919625125,0.3171902881232774,-0.0011886968065197103,0.03608522275157733,-6,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-13 04:00:00,146.76966240000726,147.46752513322258,143.76706483629232,144.63018798828125,8143900,0.0,0.0,CVX,Energy,-0.013342718486117344,-0.013432532356552831,0.025585670242163357,0.20304133691036036,0.22861000385328445,0.25744884689546393,-0.014515554845782368,0.028670305862394274,-5,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-14 04:00:00,144.17110947751087,144.1803007332669,140.7644882244453,141.02159118652344,7065700,0.0,0.0,CVX,Energy,-0.024950508963247686,-0.025267049234842315,0.024221911553271643,0.21083286869113427,0.23191544316175014,0.1850113803658189,-0.03910389332774387,0.019652322712220505,-4,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-17 04:00:00,140.81036815579102,141.53576261965478,140.1584196537138,140.89300537109375,4351700,0.0,0.0,CVX,Energy,-0.0009118165122644628,-0.0009122324698110103,0.009775807977927943,0.2089388999667668,0.23099311732430133,0.0914658468782544,-0.03998005426437831,0.008412021179618145,-1,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
